# Division I Women's Basketball: 2011-12 Season
# School (Conference)	Wins	Losses
Baylor (Big 12)	40	0
Stanford (Pac-12)	35	2
Delaware (Colonial)	31	2
Green Bay (Horizon)	31	2
FGCU (Atlantic Sun)	29	3
Notre Dame (AAC)	35	4
St. Bonaventure (Atlantic 10)	31	4
UTEP (Conference USA)	29	4
UConn (AAC)	33	5
Maryland (Atlantic Coast)	31	5
Hampton (Mid-Eastern)	26	5
Princeton (Ivy League)	24	5
Gonzaga (West Coast)	28	6
Fresno St. (Western Athletic)	28	6
Duke (Atlantic Coast)	27	6
Miami (FL) (Atlantic Coast)	26	6
Kentucky (Southeastern)	28	7
Appalachian St. (Southern)	27	7
Middle Tenn. (Sun Belt)	26	7
Penn St. (Big Ten)	26	7
BYU (West Coast)	26	7
James Madison (Colonial)	29	8
San Diego St. (Mountain West)	25	7
Ohio St. (Big Ten)	25	7
Bowling Green (Mid-American)	24	7
Central Ark. (Southland)	24	7
Dayton (Atlantic 10)	23	7
Marist (Metro Atlantic)	26	8
McNeese St. (Southland)	26	8
Memphis (Conference USA)	25	8
Sacred Heart (Northeast)	25	8
Tennessee (Southeastern)	27	9
Idaho St. (Big Sky)	24	8
San Diego (West Coast)	26	9
Georgia Tech (Atlantic Coast)	26	9
American (Patriot)	23	8
Purdue (Big Ten)	25	9
Florida A&M (Mid-Eastern)	22	8
South Dakota St. (Summit League)	24	9
Missouri St. (Missouri Valley)	24	9
Liberty (Big South)	24	9
Howard (Mid-Eastern)	24	9
Arkansas (Southeastern)	24	9
Fairfield (Metro Atlantic)	24	9
Nebraska (Big Ten)	24	9
Boston U. (America East)	23	9
Eastern Mich. (Mid-American)	23	9
UT Martin (OVC)	23	9
Richmond (Atlantic 10)	23	9
Georgetown (AAC)	23	9
California (Pac-12)	25	10
South Carolina (Southeastern)	25	10
Eastern Ill. (OVC)	22	9
Georgia (Southeastern)	22	9
West Virginia (AAC)	24	10
Toledo (Mid-American)	24	10
St. John's (NY) (AAC)	24	10
SFA (Southland)	23	10
Temple (Atlantic 10)	23	10
Albany (NY) (America East)	23	10
Vanderbilt (Southeastern)	23	10
Louisville (AAC)	23	10
Virginia (Atlantic Coast)	25	11
Chattanooga (Southern)	22	10
UNLV (Mountain West)	22	10
Davidson (Southern)	22	10
Quinnipiac (Northeast)	22	10
Rutgers (AAC)	22	10
Texas A&M (Big 12)	24	11
LIU Brooklyn (Northeast)	21	10
Miami (OH) (Mid-American)	21	10
Utah St. (Western Athletic)	21	10
FIU (Sun Belt)	23	11
LSU (Southeastern)	23	11
DePaul (AAC)	23	11
Tulane (Conference USA)	23	11
Stetson (Atlantic Sun)	23	11
St. Mary's (CA) (West Coast)	22	11
Saint Joseph's (Atlantic 10)	22	11
UMKC (Summit League)	22	12
Oklahoma St. (Big 12)	22	12
Oral Roberts (Summit League)	20	11
North Carolina (Atlantic Coast)	20	11
UAB (Conference USA)	19	11
Montana St. (Big Sky)	19	11
Michigan St. (Big Ten)	20	12
Michigan (Big Ten)	20	12
Duquesne (Atlantic 10)	20	12
Arizona St. (Pac-12)	20	12
Coppin St. (Mid-Eastern)	20	12
Northern Colo. (Big Sky)	20	12
Oklahoma (Big 12)	21	13
Wright St. (Horizon)	21	13
Kansas (Big 12)	21	13
Iowa (Big Ten)	19	12
Hofstra (Colonial)	19	12
Denver (Sun Belt)	19	12
Florida (Southeastern)	20	13
Creighton (Missouri Valley)	20	13
High Point (Big South)	20	13
Samford (Southern)	20	13
Wichita St. (Missouri Valley)	20	13
Little Rock (Sun Belt)	20	13
UNCW (Colonial)	20	13
Oregon St. (Pac-12)	20	13
Texas Tech (Big 12)	21	14
Colorado (Pac-12)	21	14
Campbell (Big South)	18	12
Sam Houston St. (Southland)	18	12
Harvard (Ivy League)	18	12
Southern California (Pac-12)	18	12
Syracuse (AAC)	22	15
Hartford (America East)	19	13
Illinois St. (Missouri Valley)	19	13
Monmouth (Northeast)	19	13
Wake Forest (Atlantic Coast)	20	14
Washington (Pac-12)	20	14
Detroit (Horizon)	20	14
Kansas St. (Big 12)	20	14
Alabama A&M (Southwestern)	17	12
Ill.-Chicago (Horizon)	18	13
Iowa St. (Big 12)	18	13
Winthrop (Big South)	18	13
Drexel (Colonial)	19	14
Yale (Ivy League)	16	12
Brown (Ivy League)	16	12
UC Davis (Big West)	17	13
South Ala. (Sun Belt)	17	13
Lehigh (Patriot)	17	13
Fla. Atlantic (Sun Belt)	17	13
Robert Morris (Northeast)	18	14
Mississippi Val. (Southwestern)	18	14
Navy (Patriot)	18	14
Texas (Big 12)	18	14
Pacific (Big West)	18	14
Villanova (AAC)	19	15
VCU (Colonial)	19	15
Holy Cross (Patriot)	19	15
UNI (Missouri Valley)	19	15
Central Mich. (Mid-American)	20	16
Texas St. (Southland)	17	14
CSUN (Big West)	17	14
North Carolina St. (Atlantic Coast)	19	16
South Fla. (AAC)	19	16
Elon (Southern)	16	14
Towson (Colonial)	16	14
New Hampshire (America East)	16	14
TCU (Mountain West)	16	14
Marshall (Conference USA)	16	14
Eastern Wash. (Big Sky)	16	14
Montana (Big Sky)	16	14
Charlotte (Atlantic 10)	16	14
Cal Poly (Big West)	17	15
Charleston So. (Big South)	17	15
Louisiana Tech (Western Athletic)	17	15
UMBC (America East)	17	15
Manhattan (Metro Atlantic)	18	16
Drake (Missouri Valley)	18	16
Bradley (Missouri Valley)	18	16
Minnesota (Big Ten)	19	17
Portland St. (Big Sky)	15	14
Nicholls St. (Southland)	16	15
Radford (Big South)	16	15
Lamar (Southland)	16	15
UC Santa Barbara (Big West)	17	16
Prairie View (Southwestern)	17	16
Tennessee Tech (OVC)	17	17
Rice (Conference USA)	16	16
Cincinnati (AAC)	16	16
Utah (Pac-12)	16	16
Grambling (Southwestern)	15	15
Utah Valley (GWC)	15	15
Alabama St. (Southwestern)	14	14
Southern U. (Southwestern)	13	13
Boise St. (Mountain West)	15	16
Indiana St. (Missouri Valley)	15	16
Oregon (Pac-12)	15	16
North Texas (Sun Belt)	15	16
Furman (Southern)	15	16
George Mason (Colonial)	15	16
N.C. A&T (Mid-Eastern)	15	16
